cohort,curv_all,curv_active
0,49.71387636224266,55.929413417364536
1,71.32643435405194,43.75449255373514
2,105.70518628157156,72.17856727414505
3,181.54830458592537,345.2261164474693
4,180.52447049152383,442.200031956952
5,21.34936666326252,18.55928348887416
