x,y,cohort,time,salience
0.12789944067260825,0.04184918641783821,0,0,
0.1298723946143082,0.051968529153569934,0,1,
0.1300953515162105,0.053189038335560136,0,2,
0.13021006363346477,0.053897188050877336,0,3,
0.13039802080240898,0.05452950353624226,0,4,
0.13037698524192007,0.0541303907806781,0,5,
0.1299482297413443,0.05119969020291844,0,6,
0.12949032526081486,0.04825879862197007,0,7,2.0
0.12847621853732458,0.04296109975643597,0,8,6.0
0.12726423115930527,0.03764100132424616,0,9,1.0
0.12588927358710247,0.032653037799543684,0,10,7.0
0.12464829032162625,0.0288380277983081,0,11,4.0
0.12374633759469071,0.027142177635417965,0,12,4.0
0.12169688814115681,0.022459983631960407,0,13,7.0
0.11926210881467367,0.01810072369843061,0,14,0.0
0.1177719635958825,0.015657897863033277,0,15,2.0
0.11410108233455686,0.010627687400259843,0,16,7.0
0.11240218982311824,0.007686993387975519,0,17,10.0
0.1071029474908439,0.0008985607438806401,0,18,3.0
0.10676631933146277,0.00040977049170479407,0,19,4.0
0.11214698141347479,0.0060856719158431695,0,20,10.0
0.1140857913289181,0.008217021554176224,0,21,7.0
0.11697987455355512,0.011267394101320315,0,22,10.0
0.11745214533805273,0.011261451791338535,0,23,0.0
0.11714914892830892,0.010189616375566113,0,24,7.0
0.11618123453318094,0.008624552538359528,0,25,1.0
0.11524844651442717,0.007229191101537097,0,26,0.0
0.11170468486869645,0.003243478536415012,0,27,0.0
0.10915791008664892,0.00024157413671965785,0,28,2.0
0.09937863667588846,-0.008948785448474054,0,29,2.0
0.09462234841348321,-0.012734023690841229,0,30,1.0
0.09377811639685318,-0.013343888725922988,0,31,5.0
0.09102453525839223,-0.015151326185711309,0,32,10.0
0.08795466952797648,-0.01718330981025145,0,33,3.0
0.08651201661668005,-0.018191995348768548,0,34,1.0
0.08105129633100784,-0.021905159243899172,0,35,4.0
0.07749154754843397,-0.024589069816600664,0,36,8.0
0.06971921876501445,-0.028543316274768346,0,37,5.0
0.0659466191854542,-0.030397483148841938,0,38,5.0
0.06212350973526291,-0.03195125491427064,0,39,5.0
0.05795189992828771,-0.03345887922774929,0,40,2.0
0.05199361577817831,-0.03538372917211205,0,41,1.0
0.04919337873689252,-0.03578003831566709,0,42,4.0
0.04633324805157194,-0.036025896232611494,0,43,4.0
0.04343968139943821,-0.03636798540790582,0,44,1.0
0.03989764886934964,-0.036653490323564505,0,45,3.0
0.03494537888279392,-0.03776640308221631,0,46,3.0
0.03565939390216014,-0.03738069370052519,0,47,0.0
0.034083933984966966,-0.0376107068137085,0,48,7.0
0.031932983271685415,-0.04010991931334808,0,49,0.0
0.03279189749151995,-0.038210741886518636,0,50,7.0
0.029434114221328137,-0.03789961251518881,0,51,4.0
0.022985040692810817,-0.03822768498381586,0,52,3.0
0.023518176038936505,-0.03641232168844118,0,53,1.0
0.021032528457020076,-0.03592149725242989,0,54,0.0
0.019344212272843317,-0.03575316512116666,0,55,8.0
0.016489582276193692,-0.03581145790863633,0,56,2.0
0.01245062254414958,-0.03590712787357946,0,57,2.0
0.006146775168897001,-0.03561176262695908,0,58,0.0
0.0013332467783732738,-0.035384844407570504,0,59,0.0
-0.0030192073542948342,-0.03511154511156639,0,60,3.0
-0.005109701857317543,-0.03505306766926166,0,61,5.0
-0.008067924331166315,-0.03504143837104586,0,62,2.0
-0.007264966672951279,-0.037012563011309695,0,63,3.0
-0.012576161759116937,-0.03532347297563294,0,64,2.0
-0.015427564055926785,-0.035513061777433144,0,65,1.0
-0.01829293476533397,-0.03565855394074433,0,66,1.0
-0.021991759934902003,-0.03610055577299402,0,67,2.0
-0.025964523502178125,-0.034562092084059366,0,68,10.0
-0.027697168629367514,-0.03333691098717371,0,69,3.0
-0.02909639276017824,-0.032172793105539194,0,70,0.0
-0.03047766398622658,-0.031247942365353026,0,71,1.0
-0.028960933673507314,-0.03168948928370727,0,72,3.0
-0.03263886005159881,-0.030555546022700653,0,73,1.0
-0.02964334994007494,-0.03014754616234942,0,74,4.0
-0.028359128942807857,-0.029935175026964085,0,75,4.0
-0.028400191944974514,-0.029519098311867855,0,76,0.0
-0.023290600353839428,-0.03197232380170859,0,77,1.0
-0.0297624408609769,-0.02527203516829531,0,78,10.0
-0.029749542188797648,-0.024707402127561336,0,79,2.0
-0.03224549249986914,-0.023404301175164125,0,80,6.0
-0.03393194204472824,-0.022356722465606025,0,81,0.0
-0.037839329691141364,-0.02123632637081427,0,82,0.0
-0.03722971708598915,-0.020669483712212857,0,83,1.0
-0.03479656475709509,-0.021262288264911923,0,84,6.0
-0.034792348932658534,-0.021819110011113564,0,85,5.0
-0.03580823038750092,-0.02118861438516675,0,86,1.0
-0.039563822457028414,-0.020810339298558814,0,87,0.0
-0.03792784577311537,-0.018915982221396007,0,88,3.0
-0.03878424452491277,-0.018011683849505033,0,89,4.0
-0.039004164118178065,-0.01682139859914592,0,90,4.0
-0.039134820655587474,-0.017122220115562872,0,91,0.0
-0.03905253063088641,-0.017719558006816884,0,92,3.0
-0.03842841410391255,-0.019258012253298845,0,93,1.0
-0.03909797311979495,-0.019705395048775054,0,94,1.0
-0.04064908009734952,-0.019626029636355447,0,95,0.0
-0.043905559369014385,-0.01782835020147996,0,96,1.0
-0.046580638979586385,-0.016369512923731212,0,97,3.0
-0.048716084869101436,-0.015306845479484835,0,98,5.0
-0.05009508803145052,-0.015045331230769015,0,99,5.0
-0.05200840481436261,-0.014117444649753695,0,100,3.0
-0.052808400164126246,-0.01548725231203255,0,101,6.0
-0.054654020001385695,-0.012555210213719258,0,102,4.0
-0.054659287348909735,-0.013182480328804713,0,103,4.0
-0.05762080247244892,-0.008238983407549251,0,104,3.0
-0.059300914652481954,-0.006166208443872877,0,105,3.0
-0.05893751909097148,-0.005843484913308135,0,106,2.0
-0.061212051770196674,-0.0013202208246577648,0,107,1.0
-0.06352094273705208,0.004482096292697425,0,108,0.0
-0.06423377860537727,0.006676696846794987,0,109,1.0
-0.06506939070920426,0.00810252069114492,0,110,5.0
-0.06507033511522645,0.00867202634195075,0,111,3.0
-0.06400862561314746,0.008463047376995393,0,112,10.0
-0.06324649802763802,0.008350689982131742,0,113,4.0
-0.05998473128663715,0.005705034886819605,0,114,3.0
-0.06182810950547276,0.008735615603442,0,115,1.0
-0.06381179680835994,0.010410833947757655,0,116,2.0
-0.06551320770241535,0.01228976710589473,0,117,1.0
-0.06686729602145874,0.013478474804384353,0,118,1.0
-0.06857480833119878,0.015306270270009028,0,119,5.0
-0.06928712091655288,0.016202959105007995,0,120,4.0
-0.06948043964404081,0.01648082883397225,0,121,5.0
-0.06892887251974328,0.015745604451516758,0,122,3.0
-0.06801097540237316,0.01439566627465264,0,123,2.0
-0.06614927734532679,0.010074123233529885,0,124,1.0
-0.0652071222644771,0.006782735256316508,0,125,1.0
-0.06504899250663092,0.005482555183236576,0,126,10.0
-0.0634346693599502,0.002692654973455359,0,127,2.0
-0.06333330083519419,0.0012034889397832165,0,128,4.0
-0.06297314786142208,0.0006475130228301555,0,129,3.0
-0.0639204145424834,0.002453211275487849,0,130,3.0
-0.06292506815468528,0.002566431881288184,0,131,10.0
-0.06006592494212456,0.002414549680918625,0,132,6.0
-0.060131060305034394,0.014364556961559216,0,133,3.0
-0.06068030744270993,0.017786055554436245,0,134,1.0
-0.06268710566374856,0.022057727613499282,0,135,1.0
-0.0627181115979672,0.022742243604253462,0,136,1.0
-0.063851613587056,0.025916042966642006,0,137,4.0
-0.06421363966962966,0.02830208177326662,0,138,0.0
-0.06442527469451127,0.03378009894145676,0,139,6.0
-0.06410134314438813,0.03711352700994168,0,140,8.0
-0.0634906274584479,0.0389650206331375,0,141,0.0
-0.06249541190268339,0.0411864943397828,0,142,1.0
-0.06122175939807719,0.03692103925684992,0,143,3.0
-0.06075584584554506,0.046141322519304216,0,144,0.0
-0.06052435870559304,0.048235767141612505,0,145,3.0
-0.0604818777707437,0.04975645988748364,0,146,1.0
-0.06057435775369989,0.04954542898683589,0,147,5.0
-0.06043573928501977,0.049258756019354956,0,148,6.0
-0.06054185665385585,0.04743053302232781,0,149,4.0
-0.05877143079401179,0.049312692764231815,0,150,5.0
-0.05944334178671665,0.05091023711596138,0,151,3.0
-0.059524969970352296,0.05216357141399924,0,152,4.0
-0.06000157697210803,0.05197665400687366,0,153,2.0
-0.06045618314399949,0.051271739140237776,0,154,1.0
