time,mean
7,0.32334255285594166
8,0.3323211352570288
9,0.31472446320584013
10,0.28492364694928823
11,0.22705020070610205
12,0.16956742312489934
13,0.18366338698405335
14,0.16706505108957073
15,0.18944767812474894
16,0.1743026089129893
17,0.22446333592936055
18,0.21358661656342465
19,0.23155682419785323
20,0.208763606925944
21,0.21493233398191106
22,0.14526815447837088
23,0.10620515548958005
24,0.13799774871956988
25,0.2158295615241141
26,0.23476305711626305
27,0.2143766596555271
28,0.2626115521623126
29,0.23398572699145662
30,0.2744361915697474
31,0.26916647554667666
32,0.3060199712078563
33,0.2440468602152082
34,0.20761739199923557
35,0.1808207202422371
36,0.15859917106511892
37,0.1700044419693969
38,0.18098705671854037
39,0.19625642377333266
40,0.20737520139556778
41,0.20963736256594323
42,0.16330209176055205
43,0.12959022551524016
44,0.12808956654913975
45,0.16958615946566322
46,0.22985075253669607
47,0.22183420497351386
48,0.2479165087783082
49,0.1821238837530768
50,0.2112885099955793
51,0.22367102063546662
52,0.23291399356765097
53,0.16402523001643107
54,0.10172454415757662
55,0.07819538580604435
56,0.10751773762637364
57,0.13991039473607103
58,0.12374263575517892
59,0.19307364657427886
60,0.21405536323569657
61,0.2417987144893226
62,0.23060079461627947
63,0.2358624532734313
64,0.18864081674984606
65,0.23619535343506814
66,0.1742776879804845
67,0.18339800308684726
68,0.21591003095192074
69,0.2542413024282645
70,0.19640484957469367
71,0.12709697409753556
72,0.13749437687392335
73,0.11343323712783508
74,0.1724352162454722
75,0.18086467278717133
76,0.211128500405437
77,0.2302980909504987
78,0.19094098177550012
79,0.22202005097847866
80,0.2503000154358007
81,0.2252205103323579
82,0.2029379658277855
83,0.1835697669063692
84,0.2089502931688184
85,0.2736336088885304
86,0.25255214209420895
87,0.24534488806670496
88,0.19256195535626408
89,0.22028415127719247
90,0.17728428973205085
91,0.16011750338488387
92,0.2602599883801317
93,0.24656414441097224
94,0.31079242043692695
95,0.2881804756371599
96,0.23494295611669616
97,0.19997081028475314
98,0.18452663589291143
99,0.17465146553418048
100,0.1602441370653615
101,0.14658033645574328
102,0.21189805005908546
103,0.21730674389948954
104,0.2500688073868059
105,0.2883579444656218
106,0.2535163247871476
107,0.3156327076869372
108,0.27308919773082263
109,0.3131454870091611
110,0.24667340151841916
111,0.17482839504122263
112,0.2097686883129706
113,0.21616211328363202
114,0.2273143151600139
115,0.2661045118875437
116,0.2027702053209962
117,0.20789746338927909
118,0.12151720393309523
119,0.1700452644683381
120,0.2241989872447381
121,0.21571079788667755
122,0.20516814213803666
123,0.1224332598729283
124,0.11394552903425868
125,0.1594606565903451
126,0.17804233198436853
127,0.16485098504055054
128,0.14794379159364437
129,0.15394340080356292
130,0.1302589261389494
131,0.21996209617234871
132,0.2754831878057087
133,0.3135223340581732
134,0.291705223056326
135,0.2574030990737177
136,0.253976004516009
137,0.1762574015556264
138,0.16941384039564508
139,0.13576327305194832
140,0.16170460413046045
141,0.1702724996649744
142,0.16704237245371664
143,0.21361255443804816
144,0.22792788416868653
145,0.16543938719023046
146,0.20767923106811523
147,0.17550202100856602
148,0.22604169912690178
149,0.1620752580934397
150,0.1901557862781041
151,0.29357011882597406
152,0.30236796566857177
153,0.3358177264297558
154,0.2481535911368442
155,0.24338027058327164
156,0.20327368927881204
157,0.2333617068026862
158,0.21846865179453062
159,0.2524769991067836
160,0.23519998539416187
161,0.23762966771268176
162,0.27812137823911565
163,0.3076965181740531
164,0.1558639349876815
165,0.20828604711494053
166,0.3944169136707032
167,0.3609060197883319

